,Attraction,visits,avg_rating
0,Balekambang Beach,36,4.027777777777778
1,Bromo Tengger Semeru National Park,381,4.611548556430447
2,Coban Rondo Waterfall,55,3.963636363636364
3,Goa Cina Beach,53,4.09433962264151
4,Jodipan Colorful Village,43,4.3023255813953485
5,Jomblang Cave,129,4.503875968992248
6,Kalibiru National Park,115,3.8173913043478263
7,Khayangan Reflexology & Massage,28,4.571428571428571
8,Kuta Beach - Bali,2641,3.4100719424460433
9,Malang City Square,64,3.578125
10,Malioboro Road,946,3.807610993657505
11,Merapi Volcano,1576,4.054568527918781
12,Mount Semeru Volcano,83,4.698795180722891
13,Museum Malang Tempo Doeloe,31,4.032258064516129
14,Nusa Dua Beach,2016,4.271825396825397
15,Ramayana Ballet at Prambanan,328,4.192073170731708
16,Ratu Boko Temple,190,3.905263157894737
17,Sacred Monkey Forest Sanctuary,12369,4.265179076724068
18,Sanur Beach,2930,3.974402730375427
19,Seminyak Beach,2832,3.8054378531073447
20,Sempu Island,53,4.2075471698113205
21,Sewu Temple,280,4.139285714285714
22,Tanah Lot Temple,3198,4.200437773608505
23,Tegalalang Rice Terrace,5585,4.15810205908684
24,Tegenungan Waterfall,2184,3.894230769230769
25,Ullen Sentalu Museum,770,4.211688311688311
26,Uluwatu Temple,3216,4.217661691542289
27,Water Castle (Tamansari),324,3.8055555555555554
28,Waterbom Bali,6079,4.645829906234578
29,Yogyakarta Palace,673,3.50222882615156
