attraction_type,n_ratings,avg_rating,pct_low_ratings
Water Parks,6079,4.646,1.25
Spas,28,4.571,3.57
Caverns & Caves,129,4.504,1.55
National Parks,496,4.427,4.84
Neighborhoods,43,4.302,4.65
Nature & Wildlife Areas,12422,4.265,3.82
History Museums,770,4.212,5.32
Religious Sites,6414,4.209,4.68
Ballets,328,4.192,6.4
Points of Interest & Landmarks,5973,4.133,6.11
Volcanos,1659,4.087,6.81
Ancient Ruins,470,4.045,8.72
Speciality Museums,31,4.032,6.45
Waterfalls,2239,3.896,8.44
Beaches,10508,3.845,12.28
Flea & Street Markets,946,3.808,10.15
Historic Sites,673,3.502,16.79
